commentaire$text
comments  0$
comments  1$
comments  2$Parking sur place mais tres cher Insonorisation faible, pas tres agreable Tres bon petit déjeuner Chambre propre Rien d’exceptionnel pour un 4*
comments  3$Super propre bon respect des normes sanitaires !
comments  4$Accueil chaleureux et professionnel, belles prestations.
comments  5$hôtel un peu vétuste aux équipements dépassés. Emplacement idéal pour séjour à Nice. Parking de l'hôtel hors de prix (3 fois moins cher de mettre sa voiture au parking public voisin).
comments  6$Hôtel très bien placé dans le centre de Nice. Petit déjeuner parfait ! Manquerait peut-être juste une petite bouteille par personne (nous n'en avions que 1 pour 2). Personnels accueillants et professionnels.
comments  7$À mon arrivée un accueil très professionnel et sympathique . L'hôtel est en plein centre ville proche de la zone piétonne . J'ai eu la bonne surprise d'être surclassé avec une chambre au 6ÈME Avec une un grand balcon . Le petit déjeuner est remarquable . Toutes les précautions sanitaires sont prises pour une hygiène parfaite .je recommande l'établissement . J'ai eu la bonne surprise d'être surclassé da
comments  8$bon accueil et voiturier rapidite et rebnseignement tres bien
comments  9$Qualité petit déjeuner en baisse par rapport au séjour précédent Clientèle un peu bruyante
comments  10$Séjour de trois nuits. Personnel sympa, le petit dej tres bon. Chambre avec balcon agréable. Merci malgré la mésaventure du début.
comments  11$excellent accueil super chambre avec balcon terrasse au dernier étage
comments  12$Accueil désagréable et très laborieux. Salle de bain pas très propre (cheveux dans le lavabo...)
comments  13$Hôtel bien situé et facile d'accès. Idéal pour profiter du centre de Nice (5 mins de la promenade des anglais & 5 mins du vieux Nice). Chambre très propre, confortable et spacieuse. Accueil facile & sympathique. Dommage qu'il ne soit offert que 3 dosettes Nespresso en guise d'accueil car pour 2 nuits pour 2 personnes çà ne fait pas grand chose… les dosettes supplémentaires sont à 1,50€ sinon vous pouvez goûter au mauvais café soluble...
comments  14$Inaceptable chambre communicante
comments  15$Tres déçue, draps qui sentent l humidité, clim à fond a l'arrivée, impossible de rechauffer la chambre. Telecommande ne fonctionne pas.. une fois pas deux.
comments  16$Hôtel bien situé, pro on
comments  17$Je voyage énormément, j'ai très rarement donné un retour négatif, il faut bien une première fois. Je ne recommanderai pas cet hôtel, bien évidemment mon feedback est base sur mon expérience personnelle. Il se pourrait, que je sois arrivé à un mauvais moment le mauvais jour. Nous sommes tous humains.
comments  18$hôtel confortable mais un peu désuet. Problème de réglage de la t° de l'eau sanitaire chambre avec vue sur arrière cour type atelier très bon couchage quelques prises ne fonctionnent pas dans la chambre buffet PDJ correct sans plus parking (avec voiturier) au prix exorbitant
comments  19$Hôtel bien placé mais aurait besoin de rénovation
comments  20$
comments  21$excellent à tous points de vue
comments  22$Hotel très bien situé, bien tenu, garage très pratique,bon petit déjeuner. Un bémol la chambre sur rue n'est pas assez isolée
comments  23$environnement bruyant et parking très cher 25 euros pour la nuit contre 22 euros dans le parking public proche
comments  24$J'ai réservé une chambre avec un grand lit ,j'ai eu deux lit pour une personne, mon ampoule de lampe de chevet était grillé et pour finir le savon poussoir de la douche ne marchait pas. L'hotel est en travaux dans les étages et pour finir les murs dégradés de la salle du petit déjeuner on reçu une couche de peinture rapide. Pour moi cela ne vaut pas 4 étoiles Peut être que je suis mal tombé mais j'ai l'habitude d'aller dans les Best Western et celui la non Seul avantage en plein centre de Nice
comments  25$Personnel très accueillant , Petit déjeuner complet , Surclassé à mon arrivée . Très content
comments  26$Pas vilain..mais le petit déjeuner pour moi n'est pas à la hauteur des 17 euros..pas assez de variétés de pains..pas de pain complet .pourtant je l'ai demandé rien pour les clients intolérants au gluten..trop de viennoiseries..on a mis la pancarte ne pas déranger..bing les femmes de chambres ne prennent pas la peine de lire..et hop rentre dans la chambre..hôtel moyen
comments  27$The location was perfect - very near Vieux Nice and great shopping. It was clean and quiet. Great breakfast. Wonderful staff!
comments  28$Séjour affaire d'une nuit. c'est la seconde fois que ej viens dans cet hôtel. l'hôtel est très bien un seul bémol c'est l'insonorisation vis à vis de l'extérieur ou malheureusement on entend trop les bruits externe. de plus le chauffage étant à mon gout trop fort et pas réglable
comments  29$Très bien, accueil, proximité du centre ville, chambre confortable.
comments  30$Très bon accueil au niveau du personnel et de la Direction Chambre très spacieuse Petit-déj. au top
comments  31$Rapport qualité prix très correct, avec un emplacement parfait. Petit déjeuner assez varié, personnel attentif, chambre correcte. A noter la gêne nocturne le WE, due à la boîte de nuit en face de l'hôtel.
comments  32$Toujours satisfait de l'hôtel
comments  33$Hôtel idéalement situé (100m de la place Masséna) Petit déjeuner copieux et varié ( seul regret: pas de petits pains aux raisins) Nous avons eu droit à un surclassement, une grande chambre avec terrasse : le TOP ! Ma femme veut déjà y revenir ...
comments  34$complément d'info sur la mauvaise note du confort , c'est lié au fait que le chauffage soit trop fort et que je n'ai pas pu redire la température de la chambre. Une amélioration de l'isoaltion phonique peut aussi être envisagée.
comments  35$Super situation geographique, personnel sympas et chambre propre.
comments  36$Très bien dans l’ensemble
comments  37$Excellent sur tous les points personnel très aimable petit déjeuner très bien établissement très propre net et moderne très bien situé dans Nice
comments  38$J’apprécie toujours de séjourner dans cet hôtel confortable et bien situé.
comments  39$Très bel endroit, avec beaucoup de charme. Cependant, il manquait quelques produits de soin et les heures du petit déjeuner aurait été appréciées si elles étaient un peu plus tard.
comments  40$Je déconseille cette hôtel le personnel n’est pas capable de gérer les clients
comments  41$Average stay at the hotel, nothing to say in particular. Average + hotel as far as I am concerned !
comments  42$Un accueil agréable et à l’écoute du client disponible prêt à répondre à nos attentes bonne expérience
comments  43$Bon hôtel, bon emplacement, petit déjeuner très bien, mais chambre premier niveau de prix soit autour de 200€, assez petite et salle de bain minuscule, douche vraiment trop juste, donc, un bon hôtel.
comments  44$
comments  45$Chambre très petite
comments  46$Chambre mériteraient une rénovation. Bruyante coté rue.
comments  47$Séjour très agréable. Hôtel idéalement situé, proche Massena, vieux Nice et promenade des Anglais avec garage et service voiturier. L'accueil est efficace et attentionné. L'hôtel est très propre, très confortable, chambre et sanitaires spacieux. Merci à toute l'équipe qui m'a apporté aide et conseils avec beaucoup de gentillesse.
comments  48$Accueil excellent. Surclassement. Très belle et confortable chambre. Pas de bruit. Hotel central à recommander.
comments  49$
comments  50$Très bonne nuit. Belle chambre. Personnel accueillant et bienveillant.
comments  51$Personnel très gentil,À l’écoute du client chambre très propre Je recommande cette hôtel.
comments  52$Séjour de de 2 nuits. Literie confortable. Salle de bain propre mais peu spacieuse. Environnement un peu bruyant (double-vitrage peu efficace). Bon petit-déjeuner (compris dans le prix). Personnel accueillant. Bon emplacement.
comments  53$Très bon séjour, Lit super confortable, Situer en plein centre ville
comments  54$
comments  55$Super accueil, un peu bruyant / activité nocturne
comments  56$déjà l'accueil est parfait les employés à la réception sont vraiment au top. Le service au buffet est très bien. Les mesures suite au COVID19 sont respectées on se sent vraiment en sécurité.
comments  57$Lors de ma réservation j’avais demandé une chambre avec balcon et une fois sur place la demande n’a pas été prise en compte ..... Plus de chambre disponible .
comments  58$
comments  59$Excellent hôtel doté d’un personnel agréable et réactif Je recommande très vivement
comments  60$Guillaume et Leona 10/10 très professionnel chapeau
comments  61$ne pas prendre une chambre coté boulevard un bruit la nuit épouvantable la salle de petit déjeuner petite et surprise parking coûte les yeux de la tète
comments  62$Hôtel très bien placé au coeur de Nice, juste à côté de Nice Etoile et à 10 minutes à pied de la mer.
comments  63$Séjour bien agréable et familial équipe très dévouée et à l écoute car j ai été malade regrets mes petits déjeuners étaient intégré à mon offre mais malade je n ai pu en prendre que 4sur 8...donc j espère un petit moins sur la la facture ?!..merci seul problème le double vitrage n est pas efficace sur rue l faut le revoir bon hôtel bonne équipe que je recommande
comments  64$Hôtel bien situé en centre ville Bon petit déjeuner Chambre sympa Petite odeur dans le chauffage assez désagréable Obligé d’aérer régulièrement Bruyant la journée mais ok la nuit
comments  65$en plein coeur de Nice, les options de shopping et de restauration sont nombreuses. Le personnel est accueillant et serviable.
comments  66$hotel bien situé en plein centre mais tres bruyant! Cafetiére Nespresso dans la chambre mais pas de capsules, et finalement en panne, pas de bouteille d'eau dans le mini bar . Salle de bain petite a rénover .
comments  67$Chambre claire, personnel accueillant. Mais hôtel bruyant, car situé à côté d'une ligne de tram. Même avec les doubles vitrages, le bruit empêche de dormir.
comments  68$Absolument rien à dire sur l'hotel propre chambre spacieuse. Petit parking. Personnel est tres aimableet courtous et à l'ecoute.
comments  69$bien placé. petit deg tres bon. juste 10 min à pieds de la gare. facile .
comments  70$Le personnel de la reception est extrêmement professionnel ! A l ecoute, disponible, reactif digne d un grand hotel.
